title,ingredients,state,diet,meal_time,dish_type,calories,protein,fat,carbs,sodium,nutrition_basis,slot_portion_g,calories_slot,protein_slot,fat_slot,carbs_slot,sodium_slot,calculation_method,source_url,calculation_notes,sodium_slot_mg,sodium_mg_100g,condition,diet_enc,meal_time_enc,dish_type_enc
Egg Dosa,"Rice, parboiled, milled, Black gram, dal, Egg, poultry, whole, raw, Onion, big, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,breakfast,main,154.5,5.5,3.5,24.6,0.325,per 100 g finished dish,200,309,11,7,49.2,0.65,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Egg dosa; per 100 g finished dish.,650,325,healthy,0,0,1
Egg Dosa + Sambar,"Water, Table salt (sodium from NaCl), Onion, big, Egg, poultry, whole, raw, Black gram, dal, Rice, parboiled, milled, Gingelly oil, Chillies, red, Coriander seeds, Turmeric powder, Tamarind, pulp, Asafoetida, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves",Tamil Nadu,non_vegetarian,breakfast,main,114.3,4.4,2.6,17.9,0.302,per 100 g finished dish,200,228.6,8.8,5.2,35.8,0.604,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Egg dosa and sambar combo; per 100 g finished dish.,604,302,healthy,0,0,1
Egg Uthappam,"Rice, raw, milled, Black gram, dal, Egg, poultry, whole, raw, Onion, big, Chillies, green - all varieties, Table salt (sodium from NaCl), Water, Gingelly oil",Tamil Nadu,non_vegetarian,breakfast,main,151.2,5.3,2.6,25.8,0.281,per 100 g finished dish,200,302.4,10.6,5.2,51.6,0.562,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Egg uthappam with dosa batter and egg topping; per 100 g finished dish.,562,281,healthy,0,0,1
Egg Uthappam + Coconut Chutney,"Rice, raw, milled, Black gram, dal, Egg, poultry, whole, raw, Onion, big, Chillies, green - all varieties, Table salt (sodium from NaCl), Water, Gingelly oil, Coconut, kernel, fresh, Bengal gram, dal, Ginger, fresh, Curry leaves, Mustard seeds",Tamil Nadu,non_vegetarian,breakfast,condiment,158.1,4.6,6.4,20.2,0.291,per 100 g finished dish,200,316.2,9.2,12.8,40.4,0.582,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Egg uthappam and coconut chutney combo; per 100 g finished dish.,582,291,healthy,0,0,0
Adai,"Rice, raw, milled, Bengal gram, dal, Red gram, dal, Black gram, dal, Green gram, dal, Onion, big, Chillies, red, Curry leaves, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,breakfast,main,172.1,6.9,3.1,28.3,0.399,per 100 g finished dish,200,344.2,13.8,6.2,56.6,0.798,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Multi-dal adai; per 100 g finished dish.,798,399,healthy,1,0,1
Adai + Avial,"Rice, raw, milled, Water, Table salt (sodium from NaCl), Gingelly oil, Curry leaves, Chillies, red, Onion, big, Green gram, dal, Black gram, dal, Red gram, dal, Bengal gram, dal, Chillies, green - all varieties, Milk, whole, Cow, Turmeric powder, Cumin seeds, Coconut oil, Coconut, kernel, fresh, Drumstick, French beans, country, Carrot, orange, Ash gourd, Plantain, green",Tamil Nadu,vegetarian,breakfast,main,131.5,4.4,4.6,17.5,0.355,per 100 g finished dish,200,263,8.8,9.2,35,0.71,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Adai and avial combo; per 100 g finished dish.,710,355,healthy,1,0,1
Adai + Coconut Chutney,"Rice, raw, milled, Water, Table salt (sodium from NaCl), Gingelly oil, Curry leaves, Chillies, red, Onion, big, Green gram, dal, Black gram, dal, Red gram, dal, Bengal gram, dal, Coconut, kernel, fresh, Ginger, fresh, Chillies, green - all varieties, Mustard seeds",Tamil Nadu,vegetarian,breakfast,condiment,173.6,5.6,7.1,21.3,0.375,per 100 g finished dish,200,347.2,11.2,14.2,42.6,0.75,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Adai and coconut chutney combo; per 100 g finished dish.,750,375,healthy,1,0,0
Appam,"Rice, raw, milled, Coconut, kernel, fresh, Black gram, dal, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,breakfast,main,138.3,3,4.1,22,0.233,per 100 g finished dish,200,276.6,6,8.2,44,0.466,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Fermented appam batter model; per 100 g finished dish.,466,233,healthy,1,0,1
Appam + Vegetable Kurma,"Water, Table salt (sodium from NaCl), Black gram, dal, Coconut, kernel, fresh, Rice, raw, milled, Garlic, big cloves, Gingelly oil, Carrot, orange, Potato, brown skin, big, Turmeric powder, Peas, fresh, Tomato, ripe, local, Chillies, green - all varieties, Ginger, fresh, Cumin seeds, Onion, big, French beans, country",Tamil Nadu,vegetarian,breakfast,main,101.6,2.2,3.7,14.5,0.213,per 100 g finished dish,200,203.2,4.4,7.4,29,0.426,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Appam and vegetable kurma combo; per 100 g finished dish.,426,213,healthy,1,0,1
Bajra Pongal,"Bajra, Green gram, dal, Ginger, fresh, Pepper, black, Cumin seeds, Ghee, Table salt (sodium from NaCl), Curry leaves, Water",Tamil Nadu,vegetarian,breakfast,main,108.1,4,2.8,16.1,0.253,per 100 g finished dish,200,216.2,8,5.6,32.2,0.506,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Millet pongal with bajra and moong dal; per 100 g finished dish.,506,253,healthy,1,0,1
